object_id,subset,source,source_uid,source_model_path,texture_root,format,has_mesh,has_uv,has_albedo,has_normal,has_roughness,has_metallic,roughness_valid,metallic_valid,material_slot_count,needs_conversion,needs_material_bake,audit_status,reject_reason,license,notes,audit_time,auditor
smithsonian_nature_88716d499eee9a03f638,landscape,smithsonian_selected,smithsonian_nature_88716d499eee9a03f638,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/porites-compressa-angustisepta__bb695999-f3a8-408f-9c4a-33d708ff468c/Porites_compressa_angustisepta-150k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/porites-compressa-angustisepta__bb695999-f3a8-408f-9c4a-33d708ff468c,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
smithsonian_nature_895e59a2e5478345a9f2,landscape,smithsonian_selected,smithsonian_nature_895e59a2e5478345a9f2,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/fossil-whale-excavation-site-mpc-677__a4068a00-9712-4c8e-8948-a9e2ea27fe0a/whale-mpc-677-150k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/fossil-whale-excavation-site-mpc-677__a4068a00-9712-4c8e-8948-a9e2ea27fe0a,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
smithsonian_nature_8b5e7dfce840f0bca119,landscape,smithsonian_selected,smithsonian_nature_8b5e7dfce840f0bca119,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/pseudomadrepora-carolina__d5a50ac8-c2be-428b-aa07-da99a805eab1/Madrepora_carolina-150k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/pseudomadrepora-carolina__d5a50ac8-c2be-428b-aa07-da99a805eab1,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
smithsonian_nature_8b8a9c1bde58a7bc48d5,landscape,smithsonian_selected,smithsonian_nature_8b8a9c1bde58a7bc48d5,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/branta-hylobadistes-olson-james-1991-d-ulna__14e59cca-fa69-459d-8185-037678d9d205/Branta_hylobadistes_Olson_-_James__1991-150k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/branta-hylobadistes-olson-james-1991-d-ulna__14e59cca-fa69-459d-8185-037678d9d205,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
smithsonian_nature_8def8230dc42fb102c51,landscape,smithsonian_selected,smithsonian_nature_8def8230dc42fb102c51,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/acropora-tutuilensis__c851dee3-13b2-47dc-a858-f8c00715d005/Acropora_tutuilensis-150k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/acropora-tutuilensis__c851dee3-13b2-47dc-a858-f8c00715d005,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
smithsonian_nature_8e8c3e1a106c61cf5019,landscape,smithsonian_selected,smithsonian_nature_8e8c3e1a106c61cf5019,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/coeloseris-mayeri__a8b1aece-9bd5-4f7a-abd3-b3b34238ab3c/Coeloseris_mayeri-150k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/coeloseris-mayeri__a8b1aece-9bd5-4f7a-abd3-b3b34238ab3c,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
smithsonian_nature_93b5a53f2d0745670f5e,landscape,smithsonian_selected,smithsonian_nature_93b5a53f2d0745670f5e,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/astraea-fissicella-cellulosa__a50e1d06-292e-44d9-8526-4c1d2e1d8f01/Astraea_-Fissicella-_cellulosa-150k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/astraea-fissicella-cellulosa__a50e1d06-292e-44d9-8526-4c1d2e1d8f01,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
smithsonian_nature_93c59b8dfd3e2dc7f36d,landscape,smithsonian_selected,smithsonian_nature_93c59b8dfd3e2dc7f36d,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/distichopora-violacea__14ebe2e4-c7e3-4faa-aafe-d4f29e06c5de/USNM_76340-150k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/distichopora-violacea__14ebe2e4-c7e3-4faa-aafe-d4f29e06c5de,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
smithsonian_nature_94202c08d0472d1212fa,landscape,smithsonian_selected,smithsonian_nature_94202c08d0472d1212fa,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/vanda-coerulea__5b4f1c68-b5c1-4932-92ca-3119afa8af18/Vanda_coerulea-150k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/vanda-coerulea__5b4f1c68-b5c1-4932-92ca-3119afa8af18,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
smithsonian_nature_942607b5d118e83c6873,landscape,smithsonian_selected,smithsonian_nature_942607b5d118e83c6873,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/acropora-palmerae__a44eaf71-7fba-4df0-9d24-eb4622f04e52/Acropora_palmerae-150k-4096-high.glb,/4T/CXY/Neural_Gaffer_original/external_sources/downloads/smithsonian_selected/nature/acropora-palmerae__a44eaf71-7fba-4df0-9d24-eb4622f04e52,glb,true,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,false,unknown,B_fixable,needs_material_probe,,main_pool_candidate,2026-04-16T03:12:40Z,first_pass_auto_v1
